ID,nom_id,revision_code,name,altitude_igm,latitude_south,longitude_west,observations,comment,igm_rectangle_id,mountain_id
39,Termas del Flaco_16,16,P4297,4297,34º 49' 32'',70º 15' 43'',Cumbre fronteriza / Nombre ?,,3,39
40,Termas del Flaco_17,17,Volcan Fray Carlos,4012,34º 50' 23'',70º 21' 27''," 4 012m = altura del cono volcanico; 
 altura máxima en zona  = 4223m (1km+ al Norte)",,3,40
41,Termas del Flaco_18,18,Natalia,3639,34º 51' 42'',70º 21' 29'',,,3,41
42,Termas del Flaco_19,19,Alto de las Placetas,3255,34º 51' 04'',70º 28' 04'',Nombre alternativo: Cerro Negro ??,,3,42
43,Termas del Flaco_20,20,Don Cucho,3556,34º 52' 48'',70º 21' 48'',,,3,43
44,Termas del Flaco_22,22,Los Guzmanes,3713,34º 53' 31'',70º 23' 44'',,,3,44
45,Termas del Flaco_23,23,P4138,4138,34º 55' 43'',70º 19' 07'',Cumbre fronteriza / Nombre ?,,3,45
46,Termas del Flaco_24,24,Sin Nombre,4160,34º 56' 18'',70º 19' 42'',Nombre dudoso; ver Pano 20_55_3B,,3,46
47,Termas del Flaco_25,25,Orejas,3949,34º 58' 54'',70º 19' 47'',Cumbre fronteriza,,3,47
48,Termas del Flaco_26,26,Punta de los Suizos,3995,34º 58' 24'',70º 19' 30'',"Ver Pano 20_55_3B y Foto 11_11;
Ver Report de ascension, L'Echo des Alpes 1905 No 11, p. 397 - 423",,3,48
49,Termas del Flaco_27,27,Sordo Lucas,,,,Ver hoja Sierras de Bellavista,,3,49
50,Termas del Flaco_28,28,Horno de la Vieja,3602,34º 59' 51'',70º 21' 19'',,,3,50
51,Termas del Flaco_29,29,Alto del Padre,3349,34º 59' 11'',70º 27' 21'',"Ver Trekking and Mountaineering, de Siebert y Schubert, pag 101 (relato de ascension, en ingles)",,3,51
52,Termas del Flaco_31,31,Rincon de Pincheira,3291,34º 48' 29'',70º 17' 05'',Importancia historica ??,,3,52
53,Termas del Flaco_32,32,Alto de las Llaretas,,34º 52',70º 30',"No aparece en esta hoja IGM; Aparece en el mapa de Lliboutry (""Fig 50"" entre pags 304 y 305 del libro original / 1956)",,3,53
54,Sierras de Bellavista_1,1,San Antonio,2713,34º 45' 38'',70º 35' 20'',354 / 6152,,4,54
55,Sierras de Bellavista_2,2,Los Lunes,2193,34º 48' 02'',70º 40' 32'',346 / 6147,,4,55
56,Sierras de Bellavista_3,3,Alto las Aguilas,2380,34º 49' 10'',70º 38' 48'',349 / 6145,,4,56
57,Sierras de Bellavista_4,4,Aguilas del Chivato,2783,34º 50' 30'',70º 37' 03'',352 / 6143,,4,57
58,Sierras de Bellavista_5,5,El Sillon,2756,34º 50' 27'',70º 37' 29'',351 / 6143,,4,58
59,Sierras de Bellavista_6,6,Alto de la Plaza,2482,34º 51' 22'',70º 43' 57'',342 / 6141 ,,4,59
60,Sierras de Bellavista_7,7,Las Placetas,2902,34º 51' 43'',70º 30' 23'',362 / 6141,,4,60
61,Sierras de Bellavista_8,8,P2790,2790,34º 53' 23'',70º 35' 10'',355 / 6138,,4,61
62,Sierras de Bellavista_9,9,P3063,3063,34º 54' 40'',70º 34' 00'',357 / 6136,,4,62
63,Sierras de Bellavista_10,10,Alto de las Mesas,2524,34º 54' 56'',70º 42' 31'',344 / 6135,,4,63
64,Sierras de Bellavista_11,11,Pellejo,2767,34º 55' 26'' ,70º 41' 07'',346 / 6134,,4,64
65,Sierras de Bellavista_12,12,P3045,3045,34º 55' 59'',70º 32' 27'',359 / 6133,,4,65
66,Sierras de Bellavista_13,13,Alto las Mesas,2638,34º 57' 42'',70º 36' 58'',352 / 6130,,4,66
67,Sierras de Bellavista_14,14,Sordo Lucas,3399,34º 57' 52'',70º 31' 35'',360 / 6130,,4,67
68,Sierras de Bellavista_15,15,El Peñon,2975,34º 59' 26'',70º 37' 22'',352 / 6127,,4,68
69,Alto de los Arrieros_01,01,Punta Lajas,3521,34º 30' 47'',70º 28' 46'',,SIERRA DE LOS PUNZONES,5,69
70,Alto de los Arrieros_02,02,Tridente,3547,34º 31' 10'',70º 28' 58'',,SIERRA DE LOS PUNZONES,5,70
71,Alto de los Arrieros_03,03,Alto de la Buena Vista,3675,34º 31' 35'',70º 29' 00'',,SIERRA DE LOS PUNZONES,5,71
72,Alto de los Arrieros_04,04,Rosario,3476,34º 33' 13'',70º 29' 13'',,SIERRA DE LOS PUNZONES,5,72
73,Alto de los Arrieros_05,05,Corona de los Punzones,3519,34º 33' 57'',70º 28' 06'',,SIERRA DE LOS PUNZONES,5,73
74,Alto de los Arrieros_10,10,San Augusto,3590,34º 35' 10'',70º 27' 57'',,SIERRA DE LOS PUNZONES,5,74
75,Alto de los Arrieros_11,11,Cuerno,3556,34º 35' 45'',70º 28' 16'',,SIERRA DE LOS PUNZONES,5,75
76,Alto de los Arrieros_12,12,Alto de la Planchada,3558,34º 35' ,70º 33',Info segun mapa Lliboutry (queda fuera del mapa IGM),SIERRA DE LOS PUNZONES,5,76
77,Alto de los Arrieros_13,13,Alto de los Cristales,3810,34º 35',70º 31',Info segun mapa Lliboutry (queda fuera del mapa IGM),SIERRA DE LOS PUNZONES,5,77
78,Alto de los Arrieros_14,14,Torta,3688,34º 36' 57'',70º 29' 04'',El nombre se debe a la forma del cerro,SIERRA DE LOS PUNZONES,5,78
79,Alto de los Arrieros_15,15,P3578,3578,34º 37' 48'',70º 29' 20'',Nombre ?,SIERRA DE LOS PUNZONES,5,79
80,Alto de los Arrieros_16,16,P3759,3759,34º 38' 55'',70º 29' 45'',Nombre ?,SIERRA DE LOS PUNZONES,5,80
81,Alto de los Arrieros_17,17,Alto del Pelambre,3943,34º 41',70º 32',Info segun mapa Lliboutry (queda fuera del mapa IGM),SIERRA DE LOS PUNZONES,5,81
82,Alto de los Arrieros_18,18,Peineta,3910,34º 43',70º 32',Info segun mapa Lliboutry (queda fuera del mapa IGM),SIERRA DE LOS PUNZONES,5,82
83,Alto de los Arrieros_20,20,Coton,4292,34º 30' 41'',70º 21' 34'',,SIERRA DEL BRUJO,5,83
84,Alto de los Arrieros_21,21,Chile Japon,4186,34º 34' 44'',70º 22' 38'',,SIERRA DEL BRUJO,5,84
85,Alto de los Arrieros_22,22,P4060,4060,34º 35' 09'',70º 22' 21'',Nombre ?,SIERRA DEL BRUJO,5,85
86,Alto de los Arrieros_23,23,ASAVA,4345,34º 36' 30'',70º 22' 37'',,SIERRA DEL BRUJO,5,86
87,Alto de los Arrieros_24,24,ASAE,4306,34º 37' 42'',70º 22' 59'',,SIERRA DEL BRUJO,5,87
88,Alto de los Arrieros_25,25,P4716,4716,34º 38' 31'',70º 21' 59'',Antecumbre Norte del Alto de los Arrieros,SIERRA DEL BRUJO,5,88
89,Alto de los Arrieros_26,26,Alto de los Arrieros,4990,34º 38' 49'',70º 22' 12'',,SIERRA DEL BRUJO,5,89
90,Alto de los Arrieros_27,27,Portillo,4961,34º 39' 26'',70º 22' 37'',,SIERRA DEL BRUJO,5,90
91,Alto de los Arrieros_29,29,Torre Norte,4860,34º 39' 55'',70º 22' 27'',,SIERRA DEL BRUJO,5,91
92,Alto de los Arrieros_30,30,Torre Central,4957,34º 40' 04'',70º 22' 35'',,SIERRA DEL BRUJO,5,92
93,Alto de los Arrieros_31,31,Torre Sur,4800,34º 40' 10'',70º 22' 46'',Esta Torre no se encuentra en la linea de las otras dos torres. Se ubica en una estribacion que baja hacia el Oeste,SIERRA DEL BRUJO,5,93
94,Alto de los Arrieros_32,32,Punta NUSEVA,4570,34º 40' 43'',70º 22' 36'',,SIERRA DEL BRUJO,5,94
95,Alto de los Arrieros_33,33,El Brujo,4732,34º 41' 12'',70º 22' 48'',,SIERRA DEL BRUJO,5,95
96,Alto de los Arrieros_34,34,P4697,4697,34º 41' 32'',70º 23' 17'',Cumbre secundaria en el filo suroeste del Brujo,SIERRA DEL BRUJO,5,96
97,Alto de los Arrieros_35,35,Cumbre Sur del Brujo,4458,34º 42' 23'',70º 23' 18'',,SIERRA DEL BRUJO,5,97
98,Alto de los Arrieros_36,36,Aguja de Roca,3700,34º 40' 10'',70º 20' 39'',"Ubicada entre Glaciar Mañke y Glaciar Universidad;
Cota segun CA Mañke Exped. 1963-64",SIERRA DEL BRUJO,5,98
99,Alto de los Arrieros_38,38,Dr. Hernan Cruz,4565,34º 32' 50'',70º 19' 27'',,SIERRA DEL BRUJO / Cordón Intermedio,5,99
100,Alto de los Arrieros_39,39,P4131,4131,34º 32' 52'',70º 17' 48'',Nombre ?,SIERRA DEL BRUJO / Cordón Intermedio,5,100
101,Alto de los Arrieros_40,40,Punta Maria Angeles,4470,34º 33' 05'',70º 19' 05'',"Ver www.escalando.cl (EAcevedoR)
Nombre confirmado (Elias Lira)",SIERRA DEL BRUJO / Cordón Intermedio,5,101
102,Alto de los Arrieros_41,41,Sandra,4198,34º 33' 35'',70º 19' 10'',"Nombre confirmado (Elias Lira)
Ver foto 11_26 y tambien AHB (Mayo 2012)",SIERRA DEL BRUJO / Cordón Intermedio,5,102
103,Alto de los Arrieros_42,42,P4323,4323,34º 34' 19'',70º 18' 44'',Nombre ?,SIERRA DEL BRUJO / Cordón Intermedio,5,103
104,Alto de los Arrieros_43,43,Punta Estructura,4000,34º 35' 00'',70º 18' 53'',Modificacion en base a Panoramica 11_50 (Sven Gleisner),SIERRA DEL BRUJO / Cordón Intermedio,5,104
105,Alto de los Arrieros_44,44,Punta Escultura,4286,34º 35' 44'',70º 18' 50'',"Era antes Punta Estructura;
Modificacion en base a Panoramica 11_50 (Sven Gleisner)",SIERRA DEL BRUJO / Cordón Intermedio,5,105
106,Alto de los Arrieros_46,46,Monolitos,4160,34º 35' 38'',70º 20' 27'',Cumbre terminal Norte del Cordon Granitos ,SIERRA DEL BRUJO / Cordón Granitos,5,106
107,Alto de los Arrieros_47,47,Cipres del Granitos,4100,34º 36' 02'',70º 20' 38'',,SIERRA DEL BRUJO,5,107
108,Alto de los Arrieros_48,48,"Torreones Centrales 
del Granitos",4150,34º 36' 33'',70º 20' 40'',"Son dos y se denominan Torreon Oeste y Torreon Este; Palomo, Torreones Centrales y ASAVA en una linea = base de las modifs. !",SIERRA DEL BRUJO,5,108
109,Alto de los Arrieros_49,49,"Aguja de la Meza
(ortografia ?)",4000,34º 36',70º 20',"Nuevo; ver 11_54, marcas de CMM/Rengo",SIERRA DEL BRUJO,5,109
110,Alto de los Arrieros_50,50,Nevado del Granitos,4300,34º 37' 02'',70º 20' 43'',,SIERRA DEL BRUJO,5,110
111,Alto de los Arrieros_51,51,Punta Chimenea,4000,34º 37',70º 20',"Nuevo; ver 11_54, marcas de CMM/Rengo",SIERRA DEL BRUJO,5,111
112,Alto de los Arrieros_52,52,Nevado Granitos,4505,34º 37' 40'',70º 20' 47'',La cumbre más alta del Cordon Granitos; No confundir con R50; Dificultad en posicionar esta cumbre exactamente en el mapa IGM,SIERRA DEL BRUJO,5,112
113,Alto de los Arrieros_53,53,P4309,4309,34º 37' 07'',70º 20' 08'',Nombre ?,SIERRA DEL BRUJO,5,113
114,Alto de los Arrieros_55,55,Nevado Penitente,4350,34º 37' 51'',70º 20' 19'',Nuevo; en base a datos Exped. CA Mañke 1963-64; IGM no aporta cota; Posicion dudosa,SIERRA DEL BRUJO / Cordón Divisorio,5,114
115,Alto de los Arrieros_56,56,Nevado Mañke,4480,34º 38' 07'',70º 20' 49'',"Cota segun CA Mañke Exped. 1963-64;
Posicion corregida de acuerdo a Panoramica 11_54B",SIERRA DEL BRUJO / Cordón Divisorio,5,115
116,Alto de los Arrieros_57,57,Nevado Cisne,4350,34º 38' 29'',70º 20' 54'',"Cota segun CA Mañke Exped. 1963-64;
Posicion corregida de acuerdo a Panoramica 11_54B",SIERRA DEL BRUJO / Cordón Divisorio,5,116
117,Alto de los Arrieros_58,58,P4584,4584,34º 38' 51'',70º 20' 59'',Nombre ?,SIERRA DEL BRUJO / Cordón Divisorio,5,117
118,Alto de los Arrieros_59,59,Corona del Diablo,4589,34º 39' 11'',70º 20' 38'',,SIERRA DEL BRUJO / Cordón Divisorio,5,118
119,Alto de los Arrieros_60,60,Volcan Palomo,4860,34º 36' 27'',70º 17' 44'',Altura tomada con GPS = 4 865 msnm,SIERRA DEL BRUJO,5,119
120,Alto de los Arrieros_60B,60B,Agujas del Palomo,4000,34º 36',70º 19',"Ver foto 11_41; numerosas agujas graniticas, aprox en la falda noroeste del Palomo; nombres (segun foto 11_41): Velero, Maestra, Mellizas, Penitente, Buho;",SIERRA DEL BRUJO,5,120
121,Alto de los Arrieros_61,61,Pilar Occidental,4016,34º 37' 54'',70º 19' 11'',,SIERRA DEL BRUJO,5,121
122,Alto de los Arrieros_62,62,Pilar Oriental,3998,34º 38' 39'',70º 18' 05'',,SIERRA DEL BRUJO,5,122
123,Alto de los Arrieros_63,63,Gran Torre del Cortaderal,3968,34º 37' 37'',70º 16' 53'',Datos de acuerdo a Exped. CA Mañke 1963-64; Cota del IGM,SIERRA DEL BRUJO,5,123
124,Alto de los Arrieros_64,64,Aguja Roja,3926,34º 39' 07'',70º 18' 11'',Datos de acuerdo a Exped. CA Mañke 1963-64; Cota del IGM,SIERRA DEL BRUJO,5,124
125,Alto de los Arrieros_65,65,Punta Torrecilla,3858,34º 39' 22'',70º 18' 37'',Datos de acuerdo a Exped. CA Mañke 1963-64; Cota del IGM,SIERRA DEL BRUJO,5,125
126,Alto de los Arrieros_67,67,Punta Colmillo,3613,34º 41' 44'',70º 18' 46'',Datos de acuerdo a Exped. CA Mañke 1963-64; Informacion aproximada (posicion); cotas segun IGM; Coordenadas aproximadas,SIERRA NEGRA,5,126
127,Alto de los Arrieros_68,68,Punta Mesoncito,3946,34º 40' 59'',70º 17' 28'',Datos de acuerdo a Exped. CA Mañke 1963-64; Informacion aproximada (posicion); cotas segun IGM; Coordenadas aproximadas,SIERRA NEGRA,5,127
128,Alto de los Arrieros_69,69,Punta Cortaderal,3810,34º 40' 23'',70º 17' 08'',Datos de acuerdo a Exped. CA Mañke 1963-64; Informacion aproximada (posicion); cotas segun IGM; Coordenadas aproximadas,SIERRA NEGRA,5,128
129,Alto de los Arrieros_70,70,Punta Budapest,3931,34º 41' 33'',70º 15' 24'',Datos de acuerdo a Exped. CA Mañke 1963-64; Informacion aproximada (posicion); cotas segun IGM; Coordenadas aproximadas,SIERRA NEGRA,5,129
130,Alto de los Arrieros_71,71,Punta Hermandad,4139,34º 42' 40'',70º 15' 57'',Datos de acuerdo a Exped. CA Mañke 1963-64; Informacion aproximada (posicion); cotas segun IGM; Coordenadas aproximadas,SIERRA NEGRA,5,130
131,Alto de los Arrieros_76,76,P4413,4413,34º 43' 10'',70º 15' 37'',Cumbre fronteriza / Nombre ?,,5,131
132,Alto de los Arrieros_77,77,P4565,4565,34º 44' 08'',70º 17' 34'',Cumbre fronteriza / Nombre ?,,5,132
133,Alto de los Arrieros_78,78,P4625,4625,34º 44' 46'',70º 18' 19'',Cumbre fronteriza / Nombre ?,,5,133
134,Rio Clarillo_1,1,P3048,3048,34º 30' 26'',70º 33' 54'',,,6,134
135,Rio Clarillo_2,2,P3167,3167,34º 30' 37'',70º 32' 29'',,,6,135
136,Rio Clarillo_3,3,Alto del Corazon,1664,34º 31' 04'',70º 37' 51'',,,6,136
137,Rio Clarillo_4,4,Alto de las Verdolagas,2068,34º 31' 18'',70º 36' 31'',,,6,137
138,Rio Clarillo_5,5,Alto de los Peñascos,2935,34º 31' 04'',70º 34' 25'',,,6,138
139,Rio Clarillo_6,6,P3010,3010,34º 31' 40'',70º 30' 41'',,,6,139
140,Rio Clarillo_7,7,P3031,3031,34º 32' 43'',70º 30' 01'',,,6,140
141,Rio Clarillo_8,8,Alto de la Campana,2430,34º 33' 28'',70º 38' 57'',,,6,141
142,Rio Clarillo_9,9,Alto del Sapo,3052,34º 33' 12'',70º 31' 10'',,,6,142
143,Rio Clarillo_10,10,Alto de Monserrat,3014,34º 34' 34'',70º 34' 48'',,,6,143
144,Rio Clarillo_11,11,Alto de las Yeguas,3217,34º 35' 06'',70º 33' 33'',,,6,144
145,Rio Clarillo_12,12,P3404,3404,34º 35' 08'',70º 31' 38'',,,6,145
146,Rio Clarillo_13,13,P3525,3525,34º 35' 29'',70º 33' 03'',,,6,146
147,Rio Clarillo_14,14,Alto de la Plancha,3702,34º 35' 35'',70º 30' 56'',,,6,147
148,Rio Clarillo_15,15,Alto de las Lagunas,3032,34º 36' 39'',70º 39' 13'',,,6,148
149,Rio Clarillo_16,16,P3560,3560,34º 36' 40'' ,70º 31' 17'',,,6,149
150,Rio Clarillo_17,17,Alto de los Lirios,3053,34º 37' 29'',70º 39' 26'',,,6,150
151,Rio Clarillo_18,18,Alto de Barahona,3537,34º 37' 36'',70º 32' 29'',,,6,151
152,Rio Clarillo_19,19,P3049,3049,34º 38' 04'',70º 39' 52'',,,6,152
153,Rio Clarillo_20,20,Alto de Pellejo,2663,34º 38' 01'',70º 35' 05'',,,6,153
154,Rio Clarillo_21,21,Alto de Castañeda,2785,34º 39' 45'',70º 36' 15'',,,6,154
155,Rio Clarillo_22,22,P3682,3682,34º 39' 50'',70º 30' 52'',,,6,155
156,Rio Clarillo_23,23,P3255,3255,34º 40' 14'',70º 32' 58'',,,6,156
157,Rio Clarillo_24,24,(Sierra de los Punzones),3526,34º 40' 46'',70º 31' 40'',,,6,157
158,Rio Clarillo_25,25,Alto del Pelambre,3934,34º 41' 43'',70º 32' 04'',,,6,158
159,Rio Clarillo_26,26,P3648,3648,34º 42' 44'',70º 30' 41'',,,6,159
160,Rio Clarillo_27,27,P3932,3932,34º 42' 38'',70º 32' 32'',,,6,160
161,Rio Clarillo_28,28,Alto de las Mulas,3468,34º 44' 03'',70º 32' 40'',(antes Cajon de las Mulas),,6,161
162,Rio Cortaderal_1,1,P2664,2664,34° 16' 09'',70° 18' 43'',,,7,162
163,Rio Cortaderal_2,2,Agujereado,2522,34° 16' 28'',70° 24' 22'',,,7,163
164,Rio Cortaderal_3,3,P3313,3313,34° 16' 52'',70° 15' 54'',Nombre ?,,7,164
165,Rio Cortaderal_4,4,Manantiales,3511,34° 17' 16'',70° 18' 50'',,,7,165
166,Rio Cortaderal_5,5,Mirador del Manantiales,3530,34° 17' 27'',70° 19' 02'',al Oeste del Manantiales,Ver foto 11_28,7,166
167,Rio Cortaderal_6,6,Sesquicentenario,3404,34° 17' 35'',70° 19' 48'',al Oeste del Mirador del Manantiales,Ver foto 11_28,7,167
168,Rio Cortaderal_7,7,Alto del Retamal,3353,34° 17' 52'',70° 21' 06'',,,7,168
169,Rio Cortaderal_8,8,Duende,3559,34° 18' 10'',70° 19' 44'',,Ver foto 11_28; ver AHB,7,169
170,Rio Cortaderal_9,9,Los Llanos,3115,34° 18' 58'',70° 15' 52'',,,7,170
171,Rio Cortaderal_9B,9B,Alto del Guayacan,2860,34-18-NN,70-25-NN,Info de mapa Lliboutry / hoja Sur,,7,171
172,Rio Cortaderal_10,10,La Guardia,3305,34° 19' 00'',70° 19' 38'',,,7,172
173,Rio Cortaderal_11,11,Alto del Collay,3154,34° 23' 17'',70° 21' 29'',,,7,173
174,Rio Cortaderal_12,12,P3248,3248,34° 24' 01'',70° 21' 38'',Nombre ?,,7,174
175,Rio Cortaderal_13,13,Alto de los Bueyes,3064,34° 24' 07'',70° 17' 04'',"este no es el Cerro Socavones ""de Cortaderal""; ver hoja Paso Las Leñas",,7,175
176,Rio Cortaderal_14,14,Escalones,3329,34° 24' 55'',70° 29' 11'',,,7,176
177,Rio Cortaderal_15,15,Morro Bandera ,3483,34° 26' 19'',70° 22' 17'',,,7,177
178,Rio Cortaderal_16,16,P3279,3279,34° 26' 45'',70° 29' 53'',Nombre ?,,7,178
179,Rio Cortaderal_17,17,P3468,3468,34° 27' 13'',70° 22' 28'',Nombre ?,,7,179
180,Rio Cortaderal_18,18,Morro Urriola,3162,34° 27' 17'',70° 23' 10'',,,7,180
181,Rio Cortaderal_19,19,P3760,3760,34° 28' 13'',70° 22' 07'',Nombre ?,,7,181
182,Rio Cortaderal_20,20,Alto de los Pejerreyes,3741,34° 28' 44'',70° 18' 36'',,,7,182
183,Rio Cortaderal_21,21,P3457,3457,34° 29' 32'',70° 29' 06'',Nombre ?,,7,183
184,Rio Cortaderal_22,22,Alto Cotón Norte,4086,34° 29' 36'',70° 21' 24'',Info de Elvis Acevedo; ver Perros alpinos; Expedicion chileno-japonesa 1960,,7,184
185,Rio Cortaderal_23,23,Tinajon,3189,34° 17' 13'',70° 21' 49'',OK / 2.8.2011 / EAR / UL,,7,185
186,Rio Cortaderal_-,-,Morro de la Torre,3300,34-20,70-17,"Aparece en el mapa Lliboutry, hoja Sur; se descarta (no calza con hoja IGM)",,7,186
187,Rio Cortaderal_-,-,Yeguas,3000,34-25,70-30,"Aparece en el mapa Lliboutry, hoja Sur; se descarta (no calza con hoja IGM)",,7,187
188,Lag Cauquenes_1,1,Las Lamparas,2282,34º 20' 59'',70º 35' 17'',,6198 / 354,8,188
189,Lag Cauquenes_2,2,Blanco,2232,34º 21' 58'',70º 36' 11'',,6196 / 352,8,189
190,Lag Cauquenes_3,3,Los Caletones,2402,34º 23' 50'',70º 30' 46'',,6193 / 361,8,190
191,Lag Cauquenes_4,4,Sierra Nevada,2089,34º 24' 16'',70º 40' 06'',,6192 / 346,8,191
192,Lag Cauquenes_5,5,La Bandera,2284,34º 24' 36'',70º 35' 59'',,6191 / 353,8,192
193,Lag Cauquenes_6,6,P3008,3008,35º 25' 14'',70º 30' 44'',,6190 / 361,8,193
194,Lag Cauquenes_7,7,P2544,2544,34º 26' 54'',70º 36' 55'',,6186 / 351,8,194
195,Lag Cauquenes_8,8,Las Llaretas,2535,34º 27' 03'',70º 34' 52'',,6186 / 355,8,195
196,Lag Cauquenes_9,9,Portezuelo,2414,34º 27' 04'',70º 37' 48'',,6186 / 350,8,196
197,Lag Cauquenes_10,10,Los Pocillos,2578,34º 27' 42'',70º 34' 50'',,6186 / 355,8,197
198,Lag Cauquenes_11,11,Las Pizarras,3390,34º 28' 14'',70º 31' 22'',,6184 / 360,8,198
199,Lag Cauquenes_12,12,Dr. Augusto Figueroa,3442,34º 29' 27'',70º 31' 47'',"Antiguo nombre (segun IGM) ""Los Helados""; Ver AHB",6182 / 359,8,199
200,Lag Cauquenes_13,13,Altos del Cepillo,3125,34º 29' 50'',70º 33' 36'',,6181 / 357,8,200
201,Vn Maipo_1,1,Gorro,4520,34° 01' 44'',69° 50' 11'',,,9,201
202,Vn Maipo_2,2,P4715,4715,34° 02' 52'',69° 47' 29'',"En territorio argentino
Nombre ?",,9,202
203,Vn Maipo_3,3,P4417,4417,34° 02' 57'',69° 53' 06'',Nombre ?,,9,203
204,Vn Maipo_4,4,P4802,4802,34° 03' 14'',69° 56' 30'',Nombre ?,,9,204
205,Vn Maipo_5,5,Amarillo,4900,34° 04' 01'',69° 49' 51'',,,9,205
206,Vn Maipo_6,6,P4632,4632,34° 04' 39'',69° 57' 53'',Nombre ?,,9,206
207,Vn Maipo_7,7,Yeseras,3865,34° 04' 16'',69° 54' 25'',,,9,207
208,Vn Maipo_8,8,Nevado de Argüelles,4819,34° 04' 12'',69° 56' 32'',,,9,208
209,Vn Maipo_9,9,P4292,4292,34° 05' 24'',69° 55' 34'',Nombre ?,,9,209
